# Constructed from biom file
#OTU ID	105632_ID2881_83-DM83-A1-C11	105633_ID2881_84-DM84-A1-D11	105634_ID2881_85-DM85-A1-E11	105635_ID2881_86-DM86-A1-F11	105636_ID2881_87-DM87-A1-G11	105637_ID2881_88-DM88-A1-H11	105638_ID2881_89-DM89-A1-A12	105639_ID2881_90-DM90-A1-B12	105640_ID2881_91-DM91-A1-C12	105641_ID2881_92-DM92-A1-D12	105642_ID2881_93-DM93-A1-E12	105643_ID2881_94-DM94-A1-F12	105645_ID2881_96-DM96-A1-H12	105646_ID2881_97-DM97-A2-A1	105647_ID2881_98-DM98-A3-B1	105648_ID2881_99-DM99-A4-C1	105649_ID2881_100-DM100-A5-D1	105650_ID2881_101-DM101-A6-E1	105651_ID2881_102-DM102-A7-F1	105652_ID2881_103-DM103-A8-G1	105654_ID2881_105-DM105-A10-A2	105655_ID2881_106-DM106-A11-B2	105656_ID2881_107-DM107-A12-C2	105657_ID2881_108-DM108-A13-D2	105658_ID2881_109-DM109-A14-E2	105659_ID2881_110-DM110-A15-F2	105660_ID2881_111-DM111-A16-G2	105661_ID2881_112-DM112-A17-H2	105662_ID2881_113-DM113-A18-A3	105663_ID2881_114-DM114-A19-B3	105664_ID2881_115-DM115-A20-C3	105665_ID2881_116-DM116-A21-D3	105666_ID2881_117-DM117-A22-E3	105667_ID2881_118-DM118-A23-F3	105670_ID2881_121-DM121-A26-A4	105671_ID2881_122-DM122-A27-B4	105672_ID2881_123-DM123-A28-C4	105673_ID2881_124-DM124-A29-D4	105674_ID2881_125-DM125-A30-E4	105675_ID2881_126-DM126-A31-F4	105676_ID2881_127-DM127-A32-G4	105677_ID2881_128-DM128-A33-H4	105678_ID2881_129-DM129-A34-A5	105679_ID2881_130-DM130-A35-B5	105680_ID2881_131-DM131-A36-C5	105681_ID2881_132-DM132-A37-D5	105682_ID2881_133-DM133-A38-E5	105683_ID2881_134-DM134-A39-F5	105684_ID2881_135-DM135-A40-G5	105685_ID2881_136-DM136-A41-H5	105686_ID2881_137-DM137-A42-A6	105687_ID2881_138-DM138-A43-B6	105688_ID2881_139-DM139-A44-C6	105689_ID2881_140-DM140-A45-D6	105690_ID2881_141-DM141-A46-E6	105691_ID2881_142-DM142-A47-F6	106090_ID2881_95-DM95-A1-G12	106091_ID2881_104-DM104-A9-H1	106092_ID2881_119-DM119-A24-G3	106093_ID2881_120-DM120-A25-H3
d3eeb7a382811ef6a6cc94d9de823dfb	603.0	5321.0	2736.0	2018.0	1273.0	8667.0	9281.0	9263.0	783.0	3503.0	12160.0	10517.0	9003.0	20818.0	21699.0	258.0	9787.0	6573.0	20207.0	16792.0	7345.0	19972.0	14237.0	58387.0	966.0	163.0	48.0	726.0	85.0	548.0	149.0	30.0	29.0	1319.0	67.0	53.0	30.0	1060.0	256.0	40.0	0.0	25.0	130.0	25.0	333.0	1663.0	270.0	234.0	361.0	99.0	75.0	421.0	165.0	99.0	1013.0	180.0	7216.0	7289.0	11.0	103.0
b8ea7ec43a288b8b25be2b78651f36ff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117182.0	0.0	164483.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0
e52408a5d0fd918291326072918df419	154.0	6950.0	723.0	20009.0	15111.0	20287.0	24.0	18.0	4738.0	0.0	16619.0	16580.0	15675.0	5191.0	16722.0	8358.0	17907.0	9.0	1703.0	0.0	5787.0	11135.0	689.0	30.0	2911.0	1539.0	890.0	1644.0	0.0	0.0	573.0	29.0	1308.0	27431.0	19.0	18.0	0.0	116.0	17.0	20.0	0.0	0.0	15.0	10.0	17.0	23.0	27.0	19.0	35.0	0.0	8.0	41.0	52.0	0.0	0.0	20.0	0.0	0.0	0.0	8.0
3841ea718044f68caa05169cbb15ac97	313.0	14054.0	1954.0	6266.0	8539.0	4575.0	11823.0	14281.0	7158.0	7837.0	4588.0	22376.0	7167.0	3373.0	11306.0	7259.0	1547.0	1918.0	2897.0	14440.0	4921.0	7685.0	321.0	66.0	747.0	0.0	28.0	35.0	43.0	611.0	26.0	0.0	11.0	1227.0	12.0	36.0	12.0	0.0	7.0	11.0	0.0	0.0	18.0	0.0	0.0	229.0	102.0	105.0	173.0	56.0	55.0	75.0	102.0	33.0	134.0	54.0	3419.0	3414.0	0.0	18.0
71b4a3d9c0ed1b8ae7d346cca73e0512	116.0	5218.0	4520.0	4379.0	1226.0	7103.0	31037.0	4569.0	5082.0	1175.0	3648.0	9870.0	22178.0	6646.0	1520.0	3550.0	2681.0	10777.0	7164.0	3711.0	12612.0	2680.0	1527.0	0.0	1545.0	0.0	18.0	31.0	236.0	78.0	28.0	9.0	8.0	477.0	21.0	8.0	0.0	0.0	33.0	0.0	0.0	8.0	0.0	0.0	81.0	181.0	134.0	115.0	364.0	71.0	30.0	109.0	157.0	31.0	228.0	97.0	12376.0	4123.0	0.0	0.0
2a642ffe17545238bddd784a3a2866b0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28914.0	15070.0	21830.0	8439.0	4944.0	15459.0	8080.0	0.0	12729.0	23374.0	1693.0	22327.0	0.0	0.0	0.0	0.0
9064bda32249025523799a464f96b619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7729.0	11081.0	21587.0	0.0	53.0	11861.0	10371.0	17662.0	49922.0	24584.0	5708.0	41.0	0.0	0.0	0.0	0.0
2459dfd1bc9cad6486f97314e0070bee	128.0	12822.0	45792.0	6378.0	3729.0	2618.0	4328.0	15797.0	18350.0	860.0	394.0	5403.0	964.0	6752.0	740.0	1787.0	1466.0	1963.0	5697.0	11330.0	1400.0	671.0	1842.0	90.0	321.0	0.0	0.0	0.0	0.0	138.0	27.0	0.0	0.0	158.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	86.0	53.0	0.0	82.0	0.0	0.0	90.0	0.0	0.0	83.0	74.0	3219.0	2330.0	0.0	0.0
b9c505d9bbb726cccc3ae36b43f89d7e	22.0	432.0	1476.0	1323.0	1801.0	2735.0	22874.0	13270.0	920.0	9356.0	470.0	36687.0	9603.0	1601.0	2493.0	1433.0	3620.0	2690.0	1146.0	15856.0	6365.0	7.0	57.0	0.0	48.0	0.0	0.0	26.0	70.0	766.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	113.0	113.0	199.0	91.0	243.0	60.0	28.0	132.0	53.0	15.0	270.0	156.0	4678.0	4708.0	0.0	0.0
639865637c63033139304f93d6fdfc3c	446.0	793.0	203.0	14605.0	96.0	6824.0	130.0	10054.0	543.0	19299.0	2955.0	11229.0	26075.0	2184.0	0.0	11612.0	790.0	4639.0	0.0	3056.0	17944.0	245.0	1243.0	1867.0	4903.0	0.0	170.0	90.0	579.0	1025.0	0.0	51.0	114.0	132.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	52.0	0.0	0.0	18.0	1401.0	0.0	0.0	0.0	0.0	0.0	170.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0
